"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP","AVG. DIFF ","% OVER "
"301",13,"Kimani Vidal",LAC,"RB90","12","2 out of 5 stars","+164","-1.6","11% (1/9)"
"302",13,"Terrance Ferguson",LAR,"TE38","8","4 out of 5 stars","-25","-","-"
"303",13,"Chicago Bears",CHI,"DST19","5","2 out of 5 stars","-96","+0.7","43% (7/16)"
"304",13,"Jermaine Burton",CIN,"WR107","10","3 out of 5 stars","+40","-0.4","16% (2/12)"
"305",13,"Jacory Croskey-Merritt",WAS,"RB91","12","2 out of 5 stars","-66","-","-"
"306",13,"Isaac TeSlaa",DET,"WR108","8","3 out of 5 stars","-65","-","-"
"307",13,"Oronde Gadsden II",LAC,"TE39","12","3 out of 5 stars","+102","-","-"
"308",13,"Zack Moss",FA,"RB92","-","-","-87","-1.9","37% (3/8)"
"309",13,"Damien Martinez",SEA,"RB93","8","3 out of 5 stars","+133","-","-"
"310",13,"Will Reichard",MIN,"K17","6","0 out of 5 stars","-75","+2.6","66% (8/12)"
"311",13,"Ty Chandler",MIN,"RB94","6","3 out of 5 stars","+70","-1.5","25% (4/16)"
"312",13,"Tyler Higbee",LAR,"TE40","8","4 out of 5 stars","-39","-","-"
"313",13,"Gabe Davis",FA,"WR109","-","-","-","-3.3","10% (1/10)"
"314",13,"Ben Sinnott",WAS,"TE41","12","3 out of 5 stars","+65","-0.4","21% (3/14)"
"315",13,"Emanuel Wilson",GB,"RB95","5","4 out of 5 stars","+124","+1.0","43% (7/16)"
"316",13,"Tyler Loop",BAL,"K18","7","2 out of 5 stars","-104","-","-"
"317",13,"Tez Johnson",TB,"WR110","9","3 out of 5 stars","+98","-","-"
"318",13,"Tutu Atwell",LAR,"WR111","8","3 out of 5 stars","+9","-","-"
"319",13,"Will Dissly",LAC,"TE42","12","3 out of 5 stars","+16","-0.1","42% (6/14)"
"320",13,"Chris Brooks",GB,"RB96","5","4 out of 5 stars","+161","+0.7","40% (4/10)"
"321",13,"New England Patriots",NE,"DST20","14","4 out of 5 stars","-107","-1.3","25% (4/16)"
"322",13,"Shedeur Sanders",CLE,"QB35","9","2 out of 5 stars","-75","-","-"
"323",13,"Phil Mafah",DAL,"RB97","10","2 out of 5 stars","+427","-","-"
"324",13,"Tyrod Taylor",NYJ,"QB36","9","5 out of 5 stars","+233","-","-"
"325",13,"Ray-Ray McCloud III",ATL,"WR112","5","3 out of 5 stars","-2","-","-"
"326",14,"Tyler Conklin",LAC,"TE43","12","3 out of 5 stars","-10","-","-"
"327",14,"Chris Rodriguez Jr.",WAS,"RB98","12","2 out of 5 stars","+212","+2.5","42% (3/7)"
"328",14,"Jordan Whittington",LAR,"WR113","8","3 out of 5 stars","+26","-","-"
"329",14,"Miami Dolphins",MIA,"DST21","12","2 out of 5 stars","-68","-1.9","31% (5/16)"
"330",14,"Arizona Cardinals",ARI,"DST22","8","4 out of 5 stars","-115","-1.3","37% (6/16)"
"331",14,"Jason Myers",SEA,"K19","8","5 out of 5 stars","-49","+0.7","56% (9/16)"
"332",14,"Zamir White",LV,"RB99","8","2 out of 5 stars","+32","-4.3","12% (1/8)"
"333",14,"Raheim Sanders",LAC,"RB100","12","2 out of 5 stars","+577","-","-"
"334",14,"Jalen Milroe",SEA,"QB37","8","4 out of 5 stars","-63","-","-"
"335",14,"Justin Tucker",FA,"K20","-","-","-66","+0.4","50% (8/16)"
"336",14,"Tai Felton",MIN,"WR114","6","2 out of 5 stars","+154","-","-"
